"Movie","Budget (thousands of $)","Domestic Box Office Revenue (thousands of $)","International Box Office Revenue (thousands of $)","MPAA Rating","Running time","Franchise","Original source","Genre","Production method","Type","Production companies","Production country","Languages","Distributor","Release year"
"Believe",3500,902.513,NA,"PG for some violence, thematic elements and brief mild language","120 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Power of 3, Smith Global Management","United States","English","Smith Global Media",2016
"Believe in Me",NA,209.7,NA,"PG for some mild thematic elements and language.",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","IFC Films",2007
"Bella",3300,8093.4,4312.1,"PG-13 for thematic elements and brief disturbing images.","91 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Roadside Attractions",2007
"Bellflower",NA,168.2,NA,"R for disturbing violence, some strong sexuality, nudity, pervasive language and some drug use","105 minutes",NA,"Original Screenplay","Action","Live Action","Contemporary Fiction","Coatwolf Productions","United States","English","Oscilloscope Pictures",2011
"Ben is Back",13000,3703.2,8913.8,"R for language throughout and some drug use","103 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Black Bear, 30 West, Color Force, LD Entertainment, Roadside Attractions","United States","English","Roadside Attractions",2018
"Ben-Hur",95000,26410.5,65259.2,"PG-13 for sequences of violence and disturbing images","123 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Historical Fiction","Paramount Pictures, Metro-Goldwyn-Mayer Pictures, Sean Daniel Company, Lightworkers Media, Timur Bekmambetov","United States","English","Paramount Pictures",2016
"Bennett’s War",NA,725.042,NA,"PG-13","95 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Forrest Films, ESX Entertainment","United States","English","ESX Entertainment",2019
"Beowulf",150000,82280.6,112800,"PG-13 for intense sequences of violence including disturbing images, some sexual material and nudity","115 minutes",NA,"Fiction Book/Short Story","Adventure","Digital Animation","Fantasy","Paramount Pictures, Shangri-La Entertainment, ImageMovers","United States","English","Paramount Pictures",2007
"Bernie",6000,9204.5,902.5,"PG-13 for some violent images and brief strong language","104 minutes",NA,"Original Screenplay","Dark Comedy","Live Action","Contemporary Fiction","Millennium Films, Mandalay Vision, Wind Dancer Films","United States","English","Alchemy",2012
"Best Worst Movie",NA,109.9,NA,"Not Rated",NA,NA,NA,"Thriller",NA,NA,NA,"United States","English","Area 23a",2010
"Bethany Hamilton: Unstoppable",NA,590.7,57,"PG for some thematic elements","98 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Entertainment Studios Motion Pictures, Lieber Films, Rip Curl, Corkcicle","United States","English","Entertainment One",2019
"Between Me and My Mind",NA,813.8,NA,"Not Rated","100 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Live Nation Productions, Stick Figure Studios, Believe Entertainment","United States","English","Trafalgar Releasing",2019
"Bewitched",80000,63313.2,67846.1,"PG-13 for some language, including sex and drug references, and partial nudity.","98 minutes",NA,"TV","Comedy","Live Action","Fantasy","Columbia Pictures","United States","English","Sony Pictures",2005
"Beyond Borders",60000,4426.3,7000.8,"R for language and war-related violence","127 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction",NA,"United States","English","Paramount Pictures",2003
"Beyond The Reach",NA,45.9,919.3,"R for some violence","95 minutes",NA,"Fiction Book/Short Story","Thriller","Live Action","Contemporary Fiction","Lionsgate, Further Films, Literal Media","United States","English","Roadside Attractions",2015
"Beyond the Brick: A LEGO Brickumentary",1000,101.5,NA,"G(Rating bulletin 2375, 5/27/2015)","95 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Gem Pictures, Tiburon Pictures, Helo  , Futuristic Films, Milkhaus, Radius TWC","United States","English","RADiUS-TWC",2015
"Beyond the Lights",7000,14618.727,NA,"PG-13 for sexual content including suggestive gestures, partial nudity, language and
thematic elements","116 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Relativity Media, Undisputed Cinema, Homegrown Pictures, BET Films","United States","English","Relativity",2014
"Beyond the Mask",NA,1236.1,NA,"PG for action, violence and some thematic elements(Rating bulletin 2364, 3/11/2015)","103 minutes",NA,"Original Screenplay","Action","Live Action","Historical Fiction","Burns Family Studios","United States","English","Freestyle Releasing",2015
"Beyond the Mat",500,2047.6,NA,"R for language and violent content",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Universal",1999
"Bicentennial Man",90000,58220.8,29200,"PG for language and some sexual content.","131 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Science Fiction","1492 Pictures, Laurence Mark, Radiant Productions","United States","English","Walt Disney",1999
"Big Fat Liar",15000,47811.3,4649.7,"PG for some language.","88 minutes","Big Fat Liar","Original Screenplay","Adventure","Live Action","Contemporary Fiction",NA,"United States","English","Universal",2002
"Big Gay Musical",NA,223.5,NA,"Not Rated",NA,NA,"Original Screenplay","Musical","Live Action","Contemporary Fiction",NA,"United States","English","Self Distributed",2009
"Big Hero 6",165000,222527.8,427155.4,"PG for action and peril, some rude humor, and thematic elements","108 minutes",NA,"Original Screenplay","Adventure","Digital Animation","Super Hero","Walt Disney Animation Studios","United States","English","Walt Disney",2014
"Big Miracle",40000,20157.3,5111.4,"PG for Language","117 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Universal Pictures, Anonymous Content, Working Title Films","United States","English","Universal",2012
"Big Momma's House",33000,117559.4,56000,"PG-13 for crude humor including sexual innuendo, and for language and some violence","98 minutes","Big Momma's House","Original Screenplay","Comedy","Live Action","Contemporary Fiction","20th Century Fox, Regency Enterprises, David T. Friendly, Runteldat Entertainment","United States","English","20th Century Fox",2000
"Big Momma's House 2",40000,70166,66881.4,"PG-13 for some sexual humor and a humorous drug reference.",NA,"Big Momma's House","Original Screenplay","Comedy","Live Action","Contemporary Fiction","Regency Enterprises, 20th Century Fox, Deep River Films, Firm Films, Runteldat Entertainment, New Regency","United States","English","20th Century Fox",2006
"Big Mommas: Like Father, Like Son",32000,37915.4,44417,"PG-13 for some sexual humor and brief violence","107 minutes","Big Momma's House","Original Screenplay","Comedy","Live Action","Contemporary Fiction","Regency Enterprises, New Regency, Friendly Films, Runteldat Entertainment, Collective    ","United States","English","20th Century Fox",2011
"Big Sonia",NA,160.308,NA,"Not Rated","93 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Inflatable Films, SIFF, True Productions  ","United States","English","Argot Pictures",2017
"Big Stone Gap",NA,1010,3.5,"PG-13 for brief suggestive material","103 minutes",NA,"Fiction Book/Short Story","Romantic Comedy","Live Action","Historical Fiction","Altar Identity Studios","United States","English","Picturehouse",2015
"Big Sur",NA,4.734,NA,"R for some sexuality, nudity and language","74 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction","3311 Productions","United States","English","Ketchup Entertainment",2013
"Big Trouble",45000,7262.3,1226.6,"PG-13 for language, crude humor and sex-related, material","85 minutes",NA,"Fiction Book/Short Story","Comedy","Live Action","Contemporary Fiction","Touchstone Pictures, Jacobson Company","United States","English","Walt Disney",2002
"Bigger",NA,46.4,3.3,"PG-13 for thematic elements, language, some suggestive content and brief violence","107 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Bee Holder Productions","United States","English","Freestyle Releasing",2018
"Bill Cunningham New York",NA,1510,744.2,"Not Rated","84 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","New York Times, First Thought Films","United States","English","Zeitgeist",2011
"Billy Lynn’s Long Halftime Walk",40000,1738.5,28491.9,"R for language throughout, some war violence, sexual content, and brief drug use","110 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Historical Fiction","Film4, Ink Factory, Studio 8, Tri-Star Pictures, LStar Capital, Bona Film Group, Marc Platt Productions","United States","English","Sony Pictures",2016
"Birdman or (The Unexpected Virtue of Ignorance)",18000,42340.6,60874.5,"R for language throughout, some sexual content and brief violence","119 minutes",NA,"Original Screenplay","Dark Comedy","Live Action","Contemporary Fiction","New Regency, M. Productions, Le Grisbi, Worldview Entertainment, Fox Searchlight Pictures, Regency Enterprises","United States","English","Fox Searchlight",2014
"Birth of the Dragon",31000,7101.965,318.5,"PG-13 for martial arts violence, language and thematic elements","91 minutes",NA,"Real Life Events","Action","Live Action","Historical Fiction","Kylin Pictures, Groundswell Productions, WWE Studios, BH Tilt, Anomally Entertainment, Blumhouse","United States","English","BH Tilt",2017
"Bitch Slap",NA,17.4,497.2,"R for brutal violence, strong sexual content and language throughout, and brief drug use.","109 minutes",NA,"Original Screenplay","Action","Live Action","Contemporary Fiction",NA,"United States","English","Freestyle Releasing",2010
"BlacKkKlansman",15000,49275.3,44136.1,"R for language throughout, including racial epithets, and for disturbing/violent material and some sexual references","134 minutes",NA,"Factual Book/Article","Thriller","Live Action","Dramatization","Monkeypaw Pictures, QC Entertainment, Blumhouse, 40 Acres and a Mule Filmworks, Legendary Pictures, Perfect World Pictures","United States","English","Focus Features",2018
"Black Hawk Down",95000,108638.7,51052.3,"R for intense, realistic, graphic war violence, and for language","144 minutes",NA,"Fiction Book/Short Story","Action","Live Action","Dramatization","Revolution Studios, Columbia Pictures, Jerry Bruckheimer, Scott Free Films","United States","English","Sony Pictures",2001
"Black Knight",35000,33422.8,NA,"PG-13 for language, sexual/crude humor and battle violence","95 minutes",NA,"Original Screenplay","Adventure","Live Action","Kids Fiction","Regency Enterprises, 20th Century Fox, New Regency, Runteldat Entertainment, The Firm","United States","English","20th Century Fox",2001
"Black Mass",53000,63975.678,36262.2,"R for brutal violence, language throughout, some sexual references and brief drug use","122 minutes",NA,"Factual Book/Article","Drama","Live Action","Dramatization","Warner Bros., Cross Creek Pictures, Le Grisbi, Free State Pictures, Head Gear Films, RatPac Entertainment, Dune Entertainment, Vendian Entertainment","United States","English","Warner Bros.",2015
"Black Nativity",17500,7018.2,436,"PG for thematic material, language and a menacing situation","95 minutes",NA,"Play","Musical","Live Action","Fantasy","Maven Pictures, Wonderful Films","United States","English","20th Century Fox",2013
"Black Panther",200000,725259.566,636439.3,"PG-13 for prolonged sequences of action violence, and a brief rude gesture","120 minutes","Marvel Cinematic Universe","Comic/Graphic Novel","Action","Live Action","Super Hero","Marvel Studios","United States","English","Walt Disney",2018
"Black Sea",NA,1171.6,2160.5,"R for language throughout, some graphic images and violence","114 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Cowboy Films","United States","English","Focus Features",2015
"Black Snake Moan",15000,9396.9,1554.3,"R for strong sexual content, language, some violence and drug use","118 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Paramount Vantage",2007
"Black Swan",13000,106954.7,224312,"R for strong sexual content, disturbing violent images, language and some drug use","108 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Dune Entertainment, Cross Creek Pictures, Phoenix Pictures, Protozoa Pictures, Mad Chance","United States","English","Fox Searchlight",2010
